Row,Identifier 1,Identifier 2,Comment,Preparation,Type,Amount,Peak Nr,Ref  Name,Start,Rt,End,Width,Sample Dilution,Amt%,Area All,Ampl  44,Ampl  28,d 13C/12C,d 15N/14N,Date,Time,Area 28,Area 44
1,blank,,,,Sample,,1,N2 Lab.Tank,38,47.4,50.2,12.1,0,,31.011,,3550,,-1.034,10/23/19,12:52:43,30.712,
1,blank,,,,Sample,,2,N2 Lab.Tank,58.1,67.5,70,11.9,0,,31.041,,3550,,-1.125,10/23/19,12:52:43,30.743,
1,blank,,,,Sample,,3,N2 Lab.Tank,78,87.4,90.1,12.1,0,,31.142,,3554,,-1.19,10/23/19,12:52:43,30.843,
1,blank,,,,Sample,,4,CO2_zero,356.8,366.2,372,15.3,87,,34.034,3961,,-12.512,,10/23/19,12:52:43,,33.501
1,blank,,,,Sample,,5,CO2_zero,376.6,386,392.1,15.5,87,,34.404,3960,,-12.707,,10/23/19,12:52:43,,33.865
1,blank,,,,Sample,,6,CO2_zero,396.5,405.9,411.9,15.5,87,,34.405,3955,,-12.8,,10/23/19,12:52:43,,33.866
2,blank,,,,Sample,,1,N2 Lab.Tank,38,47.4,50,11.9,0,,30.912,,3540,,-1.003,10/23/19,13:01:45,30.619,
2,blank,,,,Sample,,2,N2 Lab.Tank,57.9,67.3,70,12.1,0,,31.076,,3543,,-1.098,10/23/19,13:01:45,30.782,
2,blank,,,,Sample,,3,N2 Lab.Tank,77.7,87.2,89.9,12.1,0,,31.077,,3545,,-1.19,10/23/19,13:01:45,30.783,
2,blank,,,,Sample,,4,CO2_zero,356.6,366,371.8,15.3,87,,34.192,3954,,-12.698,,10/23/19,13:01:45,,33.657
2,blank,,,,Sample,,5,CO2_zero,376.6,386,392.1,15.5,87,,34.391,3954,,-12.806,,10/23/19,13:01:45,,33.853
2,blank,,,,Sample,,6,CO2_zero,396.5,405.9,411.9,15.5,87,,34.421,3955,,-12.8,,10/23/19,13:01:45,,33.883
3,protein,,,,Sample,0.518,1,N2 Lab.Tank,37.8,47.4,50,12.1,0,,30.999,,3544,,-1.08,10/23/19,13:10:46,30.708,
3,protein,,,,Sample,0.518,2,N2 Lab.Tank,57.9,67.3,70,12.1,0,,31.007,,3546,,-1.15,10/23/19,13:10:46,30.717,
3,protein,,,,Sample,0.518,3,N2 Lab.Tank,77.7,87.2,89.9,12.1,0,,31.058,,3546,,-1.19,10/23/19,13:10:46,30.767,
3,protein,,,,Sample,0.518,4,N2 Lab.Tank,137.7,164.9,224.3,86.5,0,,83.065,,3618,,5.679,10/23/19,13:10:46,82.249,
3,protein,,,,Sample,0.518,5,CO2_zero,244.9,271.5,328.8,83.8,87,,45.914,1864,,-25.972,,10/23/19,13:10:46,,45.2
3,protein,,,,Sample,0.518,6,CO2_zero,356.8,366.2,372.2,15.5,87,,34.151,3949,,-12.851,,10/23/19,13:10:46,,33.617
3,protein,,,,Sample,0.518,7,CO2_zero,376.6,386,392.1,15.5,87,,34.358,3950,,-12.871,,10/23/19,13:10:46,,33.82
3,protein,,,,Sample,0.518,8,CO2_zero,396.5,405.9,412.1,15.7,87,,34.495,3956,,-12.8,,10/23/19,13:10:46,,33.956
4,protein,,,,Sample,0.512,1,N2 Lab.Tank,38,47.4,50,11.9,0,,31.055,,3544,,-1.06,10/23/19,13:19:47,30.766,
4,protein,,,,Sample,0.512,2,N2 Lab.Tank,57.9,67.3,70,12.1,0,,31.039,,3547,,-1.172,10/23/19,13:19:47,30.751,
4,protein,,,,Sample,0.512,3,N2 Lab.Tank,77.7,87.2,89.9,12.1,0,,31.079,,3549,,-1.19,10/23/19,13:19:47,30.791,
4,protein,,,,Sample,0.512,4,N2 Lab.Tank,137.5,164.7,223.2,85.7,0,,74.424,,3228,,5.667,10/23/19,13:19:47,73.701,
4,protein,,,,Sample,0.512,5,CO2_zero,244.7,271.7,327.5,82.8,87,,41.106,1673,,-25.857,,10/23/19,13:19:47,,40.468
4,protein,,,,Sample,0.512,6,CO2_zero,356.8,366.2,372.2,15.5,87,,33.919,3959,,-12.925,,10/23/19,13:19:47,,33.389
4,protein,,,,Sample,0.512,7,CO2_zero,376.6,386,392.1,15.5,87,,34.378,3955,,-12.883,,10/23/19,13:19:47,,33.84
