date,year,org.datafile,SID,waterbody,location,analysis.group,group,broad.taxa,functional.taxa,detailed.taxa,sample.type,dC13,dN15,CN
2012,2012,CRD SI Data,7006,Tiedeman N,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-29.99433877,3.54023707,3.890366586
2012,2012,CRD SI Data,7007,Tiedeman N,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-30.91946949,3.788313783,4.178333304
2013,2013,CRD SI Data,8102,Scott S,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-31.22065345,3.010185735,4.53239529
2013,2013,CRD SI Data,8108,Square,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-32.29934424,3.400746247,3.675663029
2013,2013,CRD SI Data,8135,Rusty W,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-30.26402504,3.198631182,4.663325415
2013,2013,CRD SI Data,8136,Rusty W,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-28.19854476,2.825138746,4.011149952
2013,2013,CRD SI Data,8143,Tiedeman S,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-28.28578452,2.707242977,4.50531275
2013,2013,CRD SI Data,8165,Storey S,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-29.72911791,3.405701101,4.996851521
2013,2013,CRD SI Data,8172,Storey S,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-27.98335335,3.168918843,4.055955072
2013,2013,CRD SI Data,8179,Storey N,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-32.35034986,3.354240972,3.726048565
2013,2013,CRD SI Data,8194,Eyak N,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-32.12602516,2.720881339,5.199074577
2013,2013,CRD SI Data,8195,Eyak N,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-31.7422138,3.193338929,4.722901709
2013,2013,CRD SI Data,8211,Rusty E,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-30.36421923,2.654265844,4.050224308
2013,2013,CRD SI Data,8248,Tiedeman N,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-30.99834222,4.757363445,5.110075631
2013,2013,CRD SI Data,8249,Tiedeman N,NA,Aquatic Predator,Invertebrate,Insect,Invert,Aeshnidae,Invert,-30.45087269,2.836707015,4.048282707
7/2/10,2010,Cordova_Stable_Isotope_AllData_07_10,4202,Tiedeman,Sheridan #1,Aquatic Predator,Invertebrate,Insect,predator,Aeshnidae,insect larva,-26.193,3.505,
7/19/10,2010,Cordova_Stable_Isotope_AllData_07_10,4214,Lily Pond,,Aquatic Predator,Invertebrate,Insect,predator,Aeshnidae,insect larva,-30.322,4.669,
7/23/10,2010,Cordova_Stable_Isotope_AllData_07_10,4235,Tiedeman,Sheridan #2,Aquatic Predator,Invertebrate,Insect,predator,Aeshnidae,insect larva,-30.011,4.443,
7/19/10,2010,Cordova_Stable_Isotope_AllData_07_10,4215,Lily Pond,,Aquatic Predator,Invertebrate,Insect,predator,Aeshnidae,insect larva,-31.02,4.466,
