,Row,Identifier.1.x,Identifier.2.x,Amount.x,d.13C.12C.x,d.15N.14N.y
1,3,protein,,0.518,-25.972,5.679
2,4,protein,,0.512,-25.857,5.667
3,5,peach,,1.445,-25.391,1.413
4,6,peach,,1.472,-25.393,1.333
5,7,acetanilide,,0.469,-32.541,-2.145
6,8,acetanilide,,0.502,-32.595,-2.105
7,9,sorghum,,1.061,-13.548,0.87
8,10,sorghum,,2.044,-13.804,0.55
9,12,STB,Hippuris vulgaris,2.434,-27.328,-7.35
10,13,STB,Hippuris vulgaris,2.789,-27.849,-1.412
11,14,STB,Hippuris vulgaris,2.645,-29,-0.876
12,15,STB,Hippuris vulgaris,2.432,-28.008,-3.176
13,16,STB,Hippuris vulgaris,2.691,-28.912,-3.41
14,17,STB,Hippuris vulgaris,2.053,-29.041,-1.165
15,18,STB,Hippuris vulgaris,2.939,-29.773,0.164
16,19,STB,Hippuris vulgaris,2.459,-29.444,-1.682
17,20,STB,Hippuris vulgaris,2.847,-28.866,-1.331
18,21,STB,Hippuris vulgaris,3.01,-28.783,-0.539
19,22,STB,Hippuris vulgaris,2.511,-29.444,-1.682
20,23,WCW,Hippuris vulgaris,2.782,-29.981,-2.505
21,24,WCW,Hippuris vulgaris,2.451,-28.37,2.472
22,25,WCW,Hippuris vulgaris,3.025,-28.835,-12.081
23,26,WCW,Hippuris vulgaris,2.939,-28.709,1.404
24,27,WCW,Hippuris vulgaris,2.612,-29.454,1.132
25,28,WCW,Hippuris vulgaris,3.046,-29.263,0.537
26,29,WCW,Hippuris vulgaris,2.912,-28.802,-2.014
27,30,WCW,Hippuris vulgaris,2.226,-27.917,1.265
28,31,WCW,Comarum palustre,3.048,-30.151,0.288
29,32,WCW,Comarum palustre,2.879,-27.671,-1.05
30,33,WCW,Comarum palustre,2.8,-28.65,-1.992
31,34,WCW,Comarum palustre,2.872,-27.216,-3.314
32,35,WCW,Comarum palustre,2.864,-28.587,-1.796
33,36,WCW,Comarum palustre,2.282,-27.186,-1.712
34,37,WCW,Comarum palustre,2.809,-29.198,-1.582
35,38,WCW,Comarum palustre,2.861,-27.36,-3.034
36,39,WCW,Comarum palustre,2.582,-29.232,-2.065
37,40,WCW,Comarum palustre,3.255,-27.953,-3.936
38,42,protein,,0.538,-27.197,3.949
39,43,protein,,0.465,-25.833,5.371
40,44,peach,,1.486,-25.63,0.894
41,45,peach,,1.452,-25.232,0.862
42,46,acetanilide,,0.467,-33.968,-2.331
43,47,acetanilide,,0.492,-32.495,-2.224
44,48,sorghum,,2.51,-13.881,0.117
45,49,sorghum,,1.881,-13.462,0.092
