id,pond,date,elodeastatus,latitude,longitude,trophicposition,kingdom,phylum,order,family,genus,species,sampletype,dC13,dN15,notes
4263,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,emergent,-27.974,7.731,
4264,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,emergent,-28.196,6.914,
4265,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,emergent,-27.897,6.76,
4266,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,seed,-25.842,3.715,
4267,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,seed,-24.494,3.815,
4268,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,seed,-25.622,3.683,
4269,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,seed,-23.731,3.777,
4270,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,seed,-26.018,3.49,
4271,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,seed,-23.965,3.547,
4272,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,seed,-25.409,3.59,
4273,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,seed,-25.07,3.627,
4274,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,emergent,-26.231,3.68,
4275,Alaganik Mudflat,7/20/06,elodea,60.4162,-145.497205,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,NA,NA,emergent,-25.779,3.434,
3996,Alaganik Rusty,7/6/09,elodea,NA,NA,detritus,detritus,detritus,detritus,detritus,detritus,detritus,detritus,-25.99,0.908,
3998,Alaganik Rusty,7/6/09,elodea,NA,NA,producer,Plantae,Magnoliophyta,Nymphaeales,Nymphaeaceae,Nuphar,polysepalum,leaf,-25.944,1.455,
3999,Alaganik Rusty,7/6/09,elodea,NA,NA,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,Scirpus,microcarpus,whole.indiv,-27.14,3.096,
4000,Alaganik Rusty,7/6/09,elodea,NA,NA,producer,Plantae,Magnoliophyta,Typhales,Sparganiaceae,Sparganium,augustifolium,whole.indiv,-28.358,2.313,
4001,Alaganik Rusty,7/6/09,elodea,NA,NA,producer,Plantae,Bryophyta,Sphagnales,Sphagnaceae,Sphagnum,NA,whole.indiv,-26.232,-0.911,
4008,Alaganik Rusty,7/6/09,elodea,NA,NA,detritus,detritus,detritus,detritus,detritus,detritus,detritus,detritus,-27.98,0.088,
4009,Alaganik Rusty,7/6/09,elodea,NA,NA,producer,NA,NA,NA,NA,NA,NA,biofilm,-26.073,1.032,
4010,Alaganik Rusty,7/6/09,elodea,NA,NA,producer,Plantae,Magnoliophyta,Nymphaeales,Nymphaeaceae,Nuphar,polysepalum,leaf,-26.126,0.873,
4011,Alaganik Rusty,7/6/09,elodea,NA,NA,producer,Plantae,Magnoliophyta,Callitrichales,Hippuridaceae,Hippuris,vulgaris,whole.indiv,-28.855,1.282,
4012,Alaganik Rusty,7/6/09,elodea,NA,NA,producer,Plantae,Magnoliophyta,Cyperales,Cyperaceae,Eleocharis,palustris,whole.indiv,-30.706,1.595,
151,Eyak South,08/13/19,native,60.477,-145.683,producer,Plantae,Magnoliophyta,Halorgales,Haloragaceae,Myriophyllum,sibiricum,submerged,-30.75488,-0.287696,
4249,Lily Pond,7/18/06,native,60.520354,-145.600586,producer,Plantae,Magnoliophyta,Solanales,Menyanthaceae,Menyanthes,trifoliata,leaf,-27.037,0.842,
4250,Lily Pond,7/18/06,native,60.520354,-145.600586,producer,Plantae,Magnoliophyta,Solanales,Menyanthaceae,Menyanthes,trifoliata,leaf,-27.333,0.442,
4251,Lily Pond,7/18/06,native,60.520354,-145.600586,producer,Plantae,Magnoliophyta,Solanales,Menyanthaceae,Menyanthes,trifoliata,leaf,-27.153,0.842,
