id,pond,date,elodeastatus,latitude,longitude,trophicposition,kingdom,phylum,order ,family,genus,species,no.indiv,sampletype,lengthmm,dC13,dN15,CNratio,notes
0149,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Typhales,Sparganiaceae,Sparganium,augustifolium,1,leaf,,-35.99648,1.290748,,
0148,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Typhales,Sparganiaceae,Sparganium,augustifolium,1,leaf,,-35.8352,0.629107,,
0143,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Nymphaeales,Nymphaeaceae,Nuphar,polysepalum,1,leaf,,-34.532,0.482735,,
0138,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Nymphaeales,Nymphaeaceae,Nuphar,polysepalum,1,leaf,,-34.30448,0.966356,,
0147,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Typhales,Sparganiaceae,Sparganium,augustifolium,1,leaf,,-33.86672,1.155255,,
0146,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Halorgales,Haloragaceae,Myriophyllum,sibiricum,1,whole.indiv,,-32.70176,-3.178543,,
0142,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Nymphaeales,Nymphaeaceae,Nuphar,polysepalum,1,leaf,,-32.43536,1.118662,,
0144,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Halorgales,Haloragaceae,Myriophyllum,sibiricum,1,whole.indiv,,-31.77728,-2.061962,,
0151,EYS,08/13/19,native,60.477,-145.683,producer,Plantae,Magnoliophyta,Halorgales,Haloragaceae,Myriophyllum,sibiricum,1,emergent,,-30.75488,-0.287696,,
0026,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,seed,,-29.978615,-0.9048085,,
0050,SWN,08/07/19,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,inflorescence,,-29.85272,-0.153679,,
0056,SWN,08/07/19,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,seed,,-29.802845,-0.645979,,
0002,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Callitrichales,Hippuridaceae,Hippuris,vulgaris,1,emergent,,-29.77605,2.679873,,
0064,SWN,08/07/19,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,,-29.753405,2.010164,,
0054,SWN,08/07/19,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,,-29.71272,-3.703873,,
0010,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Rosales,Rosaceae,Comarum,palustris,1,leaf,,-29.6663,1.174807,,
0022,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,,-29.5146,0.199172,,
0024,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,,-29.51425667,-0.866176,,
0063,SWN,08/07/19,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,,-29.50466,1.897268,,
0108,WCW,08/14/19,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Solanales,Menyanthaceae,Menyanthes,trifoliata,1,stem,,-29.486635,1.537176,,
0065,SWN,08/07/19,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,seed,,-29.392905,1.271048,,
