,id,pond,date,elodeastatus,latitude,longitude,trophicposition,kingdom,phylum,order,family,genus,species,no.indiv,sampletype,lengthmm,dC13,dN15,CNratio,notes
20,20,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,NA,NA,NA,
22,22,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-29.5146,0.199172,NA,
23,23,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-28.99445,-1.4393005,NA,
24,24,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-29.51425667,-0.866176,NA,
25,25,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-28.90793,-0.1648825,NA,
26,26,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,seed,NA,-29.978615,-0.9048085,NA,
27,27,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,seed,NA,-28.708625,-4.6253455,NA,
28,28,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,inflorescence,NA,-28.57627,-1.2565915,NA,
29,29,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-27.97681,-0.555298,NA,
30,30,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-26.220145,-1.2538645,NA,
31,31,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,inflorescence,NA,-28.43001,1.965359,NA,
32,32,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-27.40722,2.168066,NA,
33,33,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-28.22607,-1.112515,NA,
36,36,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-28.5513975,1.901577,NA,
37,37,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-27.58322,-2.02333,NA,
38,38,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,inflorescence,NA,NA,NA,NA,
39,39,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-26.72948,0.041257,NA,
40,40,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,inflorescence,NA,-26.89829,-0.708338,NA,
41,41,WCW,8/14/2019,elodea,60.493083,-145.674758,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-27.0314,0.326227,NA,
42,42,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-28.04732,-0.142115,NA,
43,43,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-28.75673,1.361618,NA,
44,44,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,seed,NA,-29.20604,0.164744,NA,
45,45,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,seed.head,NA,-28.38596,-0.795481,NA,Empty Seed Head
46,46,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-27.58322,2.567165,NA,
47,47,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-27.71684,2.091802,NA,
48,48,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-28.36454,1.106797,NA,
49,49,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-27.50264,0.61987,NA,
50,50,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,inflorescence,NA,-29.85272,-0.153679,NA,
51,51,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-29.33059,1.446125,NA,
52,52,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-28.660575,-0.119425,NA,
53,53,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,inflorescence,NA,NA,NA,NA,
54,54,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-29.71272,-3.703873,NA,
55,55,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-28.832585,1.256936,NA,
56,56,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,seed,NA,-29.802845,-0.645979,NA,
57,57,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,inflorescence,NA,-29.36664,-3.047224,NA,
58,58,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,seed,NA,-28.70641,-3.070156,NA,
59,59,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-27.40655,2.19803,NA,
60,60,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-26.535685,0.096665,NA,
61,61,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-28.913955,-1.073308,NA,
62,62,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,stem,NA,-27.08931,-1.681888,NA,
63,63,SWN,8/7/2019,elodea,60.432306,-145.300406,producer,Plantae,Magnoliophyta,Najadales,Potamogetonaceae,Potamogeton,natans,1,leaf,NA,-29.50466,1.897268,NA,
